,index,IP,date,request,res_code,search_engine,os,time
0,1.0,10.128.2.1,29/Nov/2017,GET /login.php HTTP/1.1,200,Google,Apple iOS,06:58:55
1,2.0,10.128.2.1,29/Nov/2017,POST /process.php HTTP/1.1,302,bing,Apple iOS,06:59:02
2,3.0,10.128.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Google,Apple iOS,06:59:03
3,4.0,10.131.2.1,29/Nov/2017,GET /js/vendor/moment.min.js HTTP/1.1,200,Lycos,Linux Operating System,06:59:04
4,5.0,10.130.2.1,29/Nov/2017,GET /bootstrap-3.3.7/js/bootstrap.js HTTP/1.1,200,Yandex,Linux Operating System,06:59:06
5,6.0,10.130.2.1,29/Nov/2017,GET /profile.php?user=bala HTTP/1.1,200,Lycos,Apple iOS,06:59:19
6,7.0,10.128.2.1,29/Nov/2017,GET /js/jquery.min.js HTTP/1.1,200,bing,Apple macOS,06:59:19
7,8.0,10.131.2.1,29/Nov/2017,GET /js/chart.min.js HTTP/1.1,200,Yandex,Apple macOS,06:59:19
8,9.0,10.131.2.1,29/Nov/2017,GET /edit.php?name=bala HTTP/1.1,200,Google,Google's Android OS,06:59:30
9,10.0,10.131.2.1,29/Nov/2017,GET /logout.php HTTP/1.1,302,Lycos,Linux Operating System,06:59:37
10,11.0,10.131.2.1,29/Nov/2017,GET /login.php HTTP/1.1,200,Yahoo,Microsoft Windows,06:59:37
11,12.0,10.130.2.1,29/Nov/2017,GET /login.php HTTP/1.1,200,bing,Microsoft Windows,07:00:19
12,13.0,10.130.2.1,29/Nov/2017,GET /login.php HTTP/1.1,200,Lycos,Google's Android OS,07:00:21
13,14.0,10.130.2.1,29/Nov/2017,GET / HTTP/1.1,302,Yahoo,Microsoft Windows,13:31:27
14,15.0,10.130.2.1,29/Nov/2017,GET /login.php HTTP/1.1,200,Google,Linux Operating System,13:31:28
15,16.0,10.129.2.1,29/Nov/2017,POST /process.php HTTP/1.1,302,bing,Apple macOS,13:38:03
16,17.0,10.131.0.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Lycos,Apple macOS,13:38:04
17,18.0,10.131.0.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Lycos,Apple iOS,13:38:07
18,19.0,10.130.2.1,29/Nov/2017,GET / HTTP/1.1,302,Lycos,Apple iOS,13:38:19
19,20.0,10.131.2.1,29/Nov/2017,GET /login.php HTTP/1.1,200,Yahoo,Google's Android OS,13:38:20
20,21.0,10.131.2.1,29/Nov/2017,GET /css/bootstrap.min.css HTTP/1.1,200,Google,Apple iOS,13:38:20
21,22.0,10.128.2.1,29/Nov/2017,GET /css/font-awesome.min.css HTTP/1.1,200,Yandex,Microsoft Windows,13:38:20
22,23.0,10.131.0.1,29/Nov/2017,GET /css/normalize.css HTTP/1.1,200,Yahoo,Linux Operating System,13:38:20
23,24.0,10.128.2.1,29/Nov/2017,GET /css/style.css HTTP/1.1,200,Yahoo,Microsoft Windows,13:38:20
24,25.0,10.131.0.1,29/Nov/2017,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200,Lycos,Google's Android OS,13:38:20
25,26.0,10.129.2.1,29/Nov/2017,GET /css/main.css HTTP/1.1,200,Lycos,Google's Android OS,13:38:20
26,27.0,10.131.0.1,29/Nov/2017,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200,bing,Linux Operating System,13:38:21
27,28.0,10.128.2.1,29/Nov/2017,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200,Yandex,Microsoft Windows,13:38:21
28,29.0,10.131.2.1,29/Nov/2017,GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200,Yahoo,Apple macOS,13:38:23
29,30.0,10.131.2.1,29/Nov/2017,GET / HTTP/1.1,200,bing,Apple macOS,13:46:46
30,31.0,10.131.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Google,Google's Android OS,13:46:50
31,32.0,10.131.2.1,29/Nov/2017,GET /logout.php HTTP/1.1,302,Yahoo,Apple macOS,13:46:53
32,33.0,10.131.2.1,29/Nov/2017,GET /login.php HTTP/1.1,200,Google,Apple iOS,13:46:54
33,34.0,10.131.2.1,29/Nov/2017,POST /process.php HTTP/1.1,302,Yahoo,Microsoft Windows,13:47:04
34,35.0,10.131.2.1,29/Nov/2017,GET /login.php?value=fail HTTP/1.1,200,Google,Microsoft Windows,13:47:05
35,36.0,10.131.2.1,29/Nov/2017,POST /process.php HTTP/1.1,302,Yandex,Apple macOS,13:47:16
36,37.0,10.131.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Lycos,Google's Android OS,13:47:16
